DATE;CATEGORY;GEO;Medián;Átlag;P90gamma;P90lnorm;P90weibull;P90invgauss;CDF15gamma;CDF15lnorm;CDF15weibull;CDF15invgauss;P90;CDF15
2019-02-01;P2;Budapest;22,383333;29,1361292189471;62,1891117825819;56,761202391917;62,9809001781673;57,311289077589;0,346057174691919;0,290841966334661;0,353124171107055;0,288448168055245;56,7662815855716;0,290747899253658
2019-02-01;P2;Országos;15,3;20,3713814600048;44,3215270034683;40,3383578406767;44,7371003314319;40,8041175678613;0,49210698204279;0,489896516538099;0,492383571718479;0,48960617930924;40,3491502240694;0,489560633214506
2019-02-01;P3;Budapest;31,25;43,8741436100629;99,26140817379;89,8213347632856;99,5327241754379;91,178857143605;0,274268328095515;0,186593501616654;0,276709364496483;0,175845234298973;89,8134224869124;0,186470371147357
2019-02-01;P3;Országos;19,55;29,8682616312343;71,063215787083;63,5903618897034;70,688747665541;65,0533622486934;0,419549474300426;0,386508356607342;0,418023741940555;0,385287081941437;63,6161685523458;0,386768691039513
2019-03-01;Kiemelt P1;Budapest;11,283333;15,323495595122;33,8625220943977;30,7462214265157;34,0791991401393;31,1450960082967;0,613177087677065;0,641976748330755;0,611030918776174;0,639983188843982;30,7530532870622;0,642040715160132
2019-03-01;Kiemelt P1;Országos;11,658333;14,3952811871401;29,192106871003;26,7897758688461;29,8340220955345;26,9621727719176;0,622827081880438;0,650907289861533;0,615771940049704;0,649172988127742;26,797227508236;0,651020699365924
2019-03-01;P1;Budapest;14,966666;18,7951909368498;38,8185302332809;35,6030255354253;39,5143504382459;35,8003496039726;0,501179471970856;0,501397512289191;0,500937625542789;0,501347007854584;35,5451122938086;0,501314982232605
2019-03-01;P1;Országos;12,666666;15,6390536390143;31,7167841968649;29,1292754444806;32,4072342695404;29,2770957499291;0,582028950485218;0,602785623821343;0,577018774167166;0,601450930564445;29,1102258106507;0,602721069538088
2019-03-01;P2;Budapest;20,55;27,0705274115247;58,3787019515296;53,2297336834689;59,014518149087;53,7746607417837;0,379249484792972;0,335916318523575;0,383948630651211;0,334615247358026;53,2125768911121;0,335768246928649
2019-03-01;P2;Országos;14,583333;19,0481362045952;40,7795422457387;37,208286878652;41,2672059625564;37,5770188048431;0,511736298828479;0,515596663481841;0,511301872956855;0,515242071271366;37,2084077121007;0,515373030305902
2019-03-01;P3;Budapest;28,441666;37,8851691377119;82,4660623541947;75,060461330628;83,2081254569473;75,8936531802951;0,279957588808577;0,199105929112254;0,287411053185966;0,191648475716956;75,0605004597491;0,199077891412903
2019-03-01;P3;Országos;18,058333;26,7757651466597;62,6776923476534;56,319407780899;62,4967307114154;57,443158478119;0,440354531331068;0,417287609218141;0,439696780848365;0,416621287273343;56,3213414701728;0,417199941169094
2019-04-01;Kiemelt P1;Budapest;10,916666;13,6741808034682;28,1554271244515;25,8038487361567;28,6870817169226;25,9762358886459;0,649632369328331;0,682114250799833;0,642496381121281;0,679698635642794;25,8006450377689;0,682056715906964
2019-04-01;Kiemelt P1;Országos;11,133333;14,5289527753544;31,086061904024;28,351139085405;31,4614505838016;28,6330244749475;0,628133168475991;0,658768165476644;0,624002279095647;0,65631846615911;28,3616227059606;0,658567634025969
2019-04-01;P1;Budapest;14,316666;17,5910054401629;35,4865938719244;32,6080875182988;36,2964383607837;32,7728282521604;0,522606394651364;0,529154869199305;0,521071696428244;0,528709782934244;32,5879844038175;0,528956447793762
2019-04-01;P1;Országos;12,5;15,3681893917788;31,0159738949144;28,5044672889326;31,7293614680465;28,6486165874701;0,589472807912093;0,611504942388019;0,583852352699204;0,610380165343676;28,4873609980437;0,611662055893168
2019-04-01;P2;Budapest;19,05;24,6066035734089;52,179441994076;47,6362235938357;52,8744935266996;48,0882820367227;0,40274439735687;0,369086710273271;0,407353302024701;0,368848084205855;47,6545044361148;0,369163228518692
2019-04-01;P2;Országos;14,466666;18,8314699159122;40,2026617563079;36,6984036350255;40,7005582692179;37,03744304128;0,515257881150687;0,519647862217267;0,514657168472526;0,519721170581471;36,6901461647175;0,519880184766821
2019-04-01;P3;Budapest;24,666666;33,6936235423729;74,7712225197648;67,8740342342847;75,2246279682338;68,75779805699;0,329593142238378;0,264486352497614;0,333520906819025;0,259854020732214;67,8679210330459;0,264406344666576
2019-04-01;P3;Országos;18,216666;25,0043347574693;55,6877905957264;50,5385094986392;55,9769800247115;51,1895276796384;0,429196158964443;0,403374903853122;0,430564934243096;0,403248887369183;50,5163913732327;0,403570636394073
